	u1	u2	u3	u4	u5	u6	u7	u8	u9	u10	item_id	ranking	rating
0	user4188	user3612	user4980	user177	user3075	user2827					item0	1	1
1	user4188	user3612	user4980	user177	user3075	user2827					item1	5	0
2	user4188	user3612	user4980	user177	user3075	user2827					item2	6	0
3	user4188	user3612	user4980	user177	user3075	user2827					item3	7	0
4	user4188	user3612	user4980	user177	user3075	user2827					item4	3	0
5	user4188	user3612	user4980	user177	user3075	user2827					item5	8	0
6	user4188	user3612	user4980	user177	user3075	user2827					item6	2	0
7	user4188	user3612	user4980	user177	user3075	user2827					item7	9	0
8	user4188	user3612	user4980	user177	user3075	user2827					item8	10	0
9	user4188	user3612	user4980	user177	user3075	user2827					item9	4	0
10	user3391	user3322	user3034	user2576	user3878						item0	4	0
11	user3391	user3322	user3034	user2576	user3878						item1	5	0
12	user3391	user3322	user3034	user2576	user3878						item2	6	0
13	user3391	user3322	user3034	user2576	user3878						item3	2	0
14	user3391	user3322	user3034	user2576	user3878						item4	3	0
15	user3391	user3322	user3034	user2576	user3878						item5	7	0
16	user3391	user3322	user3034	user2576	user3878						item6	1	1
17	user3391	user3322	user3034	user2576	user3878						item7	8	0
18	user3391	user3322	user3034	user2576	user3878						item8	9	0
19	user3391	user3322	user3034	user2576	user3878						item9	10	0
20	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item0	5	0
21	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item1	6	0
22	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item2	1	1
23	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item3	2	0
24	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item4	7	0
25	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item5	8	0
26	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item6	3	0
27	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item7	9	0
28	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item8	10	0
29	user3447	user2377	user3445	user3086	user1988	user3467	user3522				item9	4	0
30	user21	user2487	user2898	user3576	user4082						item0	3	0
31	user21	user2487	user2898	user3576	user4082						item1	4	0
32	user21	user2487	user2898	user3576	user4082						item2	2	0
33	user21	user2487	user2898	user3576	user4082						item3	1	1
34	user21	user2487	user2898	user3576	user4082						item4	5	0
35	user21	user2487	user2898	user3576	user4082						item5	6	0
36	user21	user2487	user2898	user3576	user4082						item6	7	0
37	user21	user2487	user2898	user3576	user4082						item7	8	0
38	user21	user2487	user2898	user3576	user4082						item8	9	0
39	user21	user2487	user2898	user3576	user4082						item9	10	0
40	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item0	7	0
41	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item1	1	1
42	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item2	4	0
43	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item3	8	0
44	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item4	5	0
45	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item5	9	0
46	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item6	2	0
47	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item7	6	0
48	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item8	10	0
49	user2653	user3503	user1668	user297	user598	user2532	user2352	user4363	user4729		item9	3	0
50	user416	user1743	user2960	user3854	user1534	user987	user19				item0	3	0
51	user416	user1743	user2960	user3854	user1534	user987	user19				item1	5	0
52	user416	user1743	user2960	user3854	user1534	user987	user19				item2	6	0
53	user416	user1743	user2960	user3854	user1534	user987	user19				item3	1	1
54	user416	user1743	user2960	user3854	user1534	user987	user19				item4	4	0
55	user416	user1743	user2960	user3854	user1534	user987	user19				item5	7	0
56	user416	user1743	user2960	user3854	user1534	user987	user19				item6	2	0
57	user416	user1743	user2960	user3854	user1534	user987	user19				item7	8	0
58	user416	user1743	user2960	user3854	user1534	user987	user19				item8	9	0
59	user416	user1743	user2960	user3854	user1534	user987	user19				item9	10	0
60	user1217	user1105	user4974	user4721	user579	user4769					item0	3	0
61	user1217	user1105	user4974	user4721	user579	user4769					item1	4	0
62	user1217	user1105	user4974	user4721	user579	user4769					item2	5	0
63	user1217	user1105	user4974	user4721	user579	user4769					item3	6	0
64	user1217	user1105	user4974	user4721	user579	user4769					item4	2	0
65	user1217	user1105	user4974	user4721	user579	user4769					item5	7	0
66	user1217	user1105	user4974	user4721	user579	user4769					item6	1	1
67	user1217	user1105	user4974	user4721	user579	user4769					item7	8	0
68	user1217	user1105	user4974	user4721	user579	user4769					item8	9	0
69	user1217	user1105	user4974	user4721	user579	user4769					item9	10	0
70	user669	user2502	user754	user2096	user1748						item0	3	0
71	user669	user2502	user754	user2096	user1748						item1	4	0
72	user669	user2502	user754	user2096	user1748						item2	5	0
73	user669	user2502	user754	user2096	user1748						item3	6	0
74	user669	user2502	user754	user2096	user1748						item4	7	0
75	user669	user2502	user754	user2096	user1748						item5	8	0
76	user669	user2502	user754	user2096	user1748						item6	2	0
77	user669	user2502	user754	user2096	user1748						item7	9	0
78	user669	user2502	user754	user2096	user1748						item8	10	0
79	user669	user2502	user754	user2096	user1748						item9	1	1
80	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item0	4	0
81	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item1	5	0
82	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item2	2	0
83	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item3	3	0
84	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item4	6	0
85	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item5	7	0
86	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item6	1	1
87	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item7	8	0
88	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item8	9	0
89	user3050	user1167	user4971	user107	user2354	user4366	user4059	user4314	user2959		item9	10	0
90	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item0	2	0
91	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item1	3	0
92	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item2	4	0
93	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item3	5	0
94	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item4	6	0
95	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item5	7	0
96	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item6	1	1
97	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item7	8	0
98	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item8	9	0
99	user1000	user85	user2351	user4043	user3259	user4066	user1829	user564	user997	user1732	item9	10	0
100	user229	user1797	user3199	user3488	user2817	user265	user2041	user4795	user1780	user3408	item0	4	0
101	user229	user1797	user3199	user3488	user2817	user265	user2041	user4795	user1780	user3408	item1	2	0
102	user229	user1797	user3199	user3488	user2817	user265	user2041	user4795	user1780	user3408	item2	5	0
103	user229	user1797	user3199	user3488	user2817	user265	user2041	user4795	user1780	user3408	item3	3	0
104	user229	user1797	user3199	user3488	user2817	user265	user2041	user4795	user1780	user3408	item4	6	0
