	u1	u2	u3	u4	u5	u6	u7	u8	u9	u10	item_id	ranking	rating
0	user3954	user2585	user2273	user3572	user2853	user1829	user194				item0	4	0
1	user3954	user2585	user2273	user3572	user2853	user1829	user194				item1	5	0
2	user3954	user2585	user2273	user3572	user2853	user1829	user194				item2	2	0
3	user3954	user2585	user2273	user3572	user2853	user1829	user194				item3	6	0
4	user3954	user2585	user2273	user3572	user2853	user1829	user194				item4	3	0
5	user3954	user2585	user2273	user3572	user2853	user1829	user194				item5	7	0
6	user3954	user2585	user2273	user3572	user2853	user1829	user194				item6	1	1
7	user3954	user2585	user2273	user3572	user2853	user1829	user194				item7	8	0
8	user3954	user2585	user2273	user3572	user2853	user1829	user194				item8	9	0
9	user3954	user2585	user2273	user3572	user2853	user1829	user194				item9	10	0
10	user3922	user2478	user2742	user3773	user216	user2165	user986				item0	4	0
11	user3922	user2478	user2742	user3773	user216	user2165	user986				item1	2	0
12	user3922	user2478	user2742	user3773	user216	user2165	user986				item2	5	0
13	user3922	user2478	user2742	user3773	user216	user2165	user986				item3	6	0
14	user3922	user2478	user2742	user3773	user216	user2165	user986				item4	7	0
15	user3922	user2478	user2742	user3773	user216	user2165	user986				item5	8	0
16	user3922	user2478	user2742	user3773	user216	user2165	user986				item6	1	1
17	user3922	user2478	user2742	user3773	user216	user2165	user986				item7	9	0
18	user3922	user2478	user2742	user3773	user216	user2165	user986				item8	10	0
19	user3922	user2478	user2742	user3773	user216	user2165	user986				item9	3	0
20	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item0	3	0
21	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item1	4	0
22	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item2	5	0
23	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item3	6	0
24	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item4	2	0
25	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item5	7	0
26	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item6	1	1
27	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item7	8	0
28	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item8	9	0
29	user1749	user4696	user3670	user3212	user1699	user4295	user1710	user1233	user108		item9	10	0
30	user4014	user3815	user1393	user2538	user4368	user2366					item0	1	1
31	user4014	user3815	user1393	user2538	user4368	user2366					item1	2	0
32	user4014	user3815	user1393	user2538	user4368	user2366					item2	3	0
33	user4014	user3815	user1393	user2538	user4368	user2366					item3	4	0
34	user4014	user3815	user1393	user2538	user4368	user2366					item4	5	0
35	user4014	user3815	user1393	user2538	user4368	user2366					item5	7	0
36	user4014	user3815	user1393	user2538	user4368	user2366					item6	8	0
37	user4014	user3815	user1393	user2538	user4368	user2366					item7	9	0
38	user4014	user3815	user1393	user2538	user4368	user2366					item8	10	0
39	user4014	user3815	user1393	user2538	user4368	user2366					item9	6	0
40	user310	user1618	user3394	user3439	user3776	user4300					item0	6	0
41	user310	user1618	user3394	user3439	user3776	user4300					item1	7	0
42	user310	user1618	user3394	user3439	user3776	user4300					item2	2	0
43	user310	user1618	user3394	user3439	user3776	user4300					item3	3	0
44	user310	user1618	user3394	user3439	user3776	user4300					item4	4	0
45	user310	user1618	user3394	user3439	user3776	user4300					item5	8	0
46	user310	user1618	user3394	user3439	user3776	user4300					item6	1	1
47	user310	user1618	user3394	user3439	user3776	user4300					item7	9	0
48	user310	user1618	user3394	user3439	user3776	user4300					item8	10	0
49	user310	user1618	user3394	user3439	user3776	user4300					item9	5	0
50	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item0	3	0
51	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item1	4	0
52	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item2	5	0
53	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item3	1	1
54	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item4	7	0
55	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item5	8	0
56	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item6	2	0
57	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item7	9	0
58	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item8	10	0
59	user322	user1736	user3214	user1294	user266	user2237	user382	user1847	user2581		item9	6	0
60	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item0	6	0
61	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item1	7	0
62	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item2	8	0
63	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item3	2	0
64	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item4	4	0
65	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item5	3	0
66	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item6	1	1
67	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item7	9	0
68	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item8	10	0
69	user2699	user1823	user1908	user4331	user3379	user716	user3781	user3874	user3595		item9	5	0
70	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item0	1	1
71	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item1	5	0
72	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item2	6	0
73	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item3	7	0
74	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item4	8	0
75	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item5	9	0
76	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item6	2	0
77	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item7	3	0
78	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item8	10	0
79	user3076	user2492	user4943	user4889	user4495	user4405	user3597				item9	4	0
80	user1694	user4114									item0	3	0
81	user1694	user4114									item1	4	0
82	user1694	user4114									item2	5	0
83	user1694	user4114									item3	6	0
84	user1694	user4114									item4	1	1
85	user1694	user4114									item5	2	0
86	user1694	user4114									item6	7	0
87	user1694	user4114									item7	8	0
88	user1694	user4114									item8	9	0
89	user1694	user4114									item9	10	0
90	user1848	user1326	user2469	user3571							item0	4	0
91	user1848	user1326	user2469	user3571							item1	5	0
92	user1848	user1326	user2469	user3571							item2	2	0
93	user1848	user1326	user2469	user3571							item3	6	0
94	user1848	user1326	user2469	user3571							item4	7	0
95	user1848	user1326	user2469	user3571							item5	3	0
96	user1848	user1326	user2469	user3571							item6	1	1
97	user1848	user1326	user2469	user3571							item7	8	0
98	user1848	user1326	user2469	user3571							item8	9	0
99	user1848	user1326	user2469	user3571							item9	10	0
100	user327	user3853	user3751	user604	user2800	user4613	user4202				item0	6	0
101	user327	user3853	user3751	user604	user2800	user4613	user4202				item1	1	1
102	user327	user3853	user3751	user604	user2800	user4613	user4202				item2	7	0
103	user327	user3853	user3751	user604	user2800	user4613	user4202				item3	8	0
104	user327	user3853	user3751	user604	user2800	user4613	user4202				item4	3	0
105	user327	user3853	user3751	user604	user2800	user4613	user4202				item5	9	0
106	user327	user3853	user3751	user604	user2800	user4613	user4202				item6	4	0
107	user327	user3853	user3751	user604	user2800	user4613	user4202				item7	5	0
108	user327	user3853	user3751	user604	user2800	user4613	user4202				item8	10	0
109	user327	user3853	user3751	user604	user2800	user4613	user4202				item9	2	0
110	user4211	user4905	user3361	user1163							item0	3	0
111	user4211	user4905	user3361	user1163							item1	4	0
112	user4211	user4905	user3361	user1163							item2	5	0
113	user4211	user4905	user3361	user1163							item3	6	0
114	user4211	user4905	user3361	user1163							item4	7	0
