	u1	u2	u3	u4	u5	u6	u7	u8	u9	u10	item_id	ranking	rating
0	user87	user491	user17	user422	user683	user402	user257				item0	4	0
1	user87	user491	user17	user422	user683	user402	user257				item1	5	0
2	user87	user491	user17	user422	user683	user402	user257				item2	6	0
3	user87	user491	user17	user422	user683	user402	user257				item3	2	0
4	user87	user491	user17	user422	user683	user402	user257				item4	7	0
5	user87	user491	user17	user422	user683	user402	user257				item5	8	0
6	user87	user491	user17	user422	user683	user402	user257				item6	1	1
7	user87	user491	user17	user422	user683	user402	user257				item7	9	0
8	user87	user491	user17	user422	user683	user402	user257				item8	10	0
9	user87	user491	user17	user422	user683	user402	user257				item9	3	0
10	user765	user49	user638	user1246	user523						item0	4	0
11	user765	user49	user638	user1246	user523						item1	2	0
12	user765	user49	user638	user1246	user523						item2	5	0
13	user765	user49	user638	user1246	user523						item3	3	0
14	user765	user49	user638	user1246	user523						item4	6	0
15	user765	user49	user638	user1246	user523						item5	7	0
16	user765	user49	user638	user1246	user523						item6	1	1
17	user765	user49	user638	user1246	user523						item7	8	0
18	user765	user49	user638	user1246	user523						item8	9	0
19	user765	user49	user638	user1246	user523						item9	10	0
20	user1164	user1120	user265	user1236	user794	user699	user779				item0	6	0
21	user1164	user1120	user265	user1236	user794	user699	user779				item1	2	0
22	user1164	user1120	user265	user1236	user794	user699	user779				item2	7	0
23	user1164	user1120	user265	user1236	user794	user699	user779				item3	1	1
24	user1164	user1120	user265	user1236	user794	user699	user779				item4	8	0
25	user1164	user1120	user265	user1236	user794	user699	user779				item5	3	0
26	user1164	user1120	user265	user1236	user794	user699	user779				item6	4	0
27	user1164	user1120	user265	user1236	user794	user699	user779				item7	9	0
28	user1164	user1120	user265	user1236	user794	user699	user779				item8	10	0
29	user1164	user1120	user265	user1236	user794	user699	user779				item9	5	0
30	user234	user636	user925	user1166							item0	1	1
31	user234	user636	user925	user1166							item1	2	0
32	user234	user636	user925	user1166							item2	5	0
33	user234	user636	user925	user1166							item3	6	0
34	user234	user636	user925	user1166							item4	3	0
35	user234	user636	user925	user1166							item5	7	0
36	user234	user636	user925	user1166							item6	4	0
37	user234	user636	user925	user1166							item7	8	0
38	user234	user636	user925	user1166							item8	9	0
39	user234	user636	user925	user1166							item9	10	0
40	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item0	6	0
41	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item1	2	0
42	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item2	3	0
43	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item3	4	0
44	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item4	7	0
45	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item5	5	0
46	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item6	1	1
47	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item7	8	0
48	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item8	9	0
49	user145	user622	user580	user521	user225	user1078	user444	user393	user386		item9	10	0
50	user918	user597	user817	user1085	user1146	user341	user575	user1050			item0	6	0
51	user918	user597	user817	user1085	user1146	user341	user575	user1050			item1	3	0
52	user918	user597	user817	user1085	user1146	user341	user575	user1050			item2	7	0
53	user918	user597	user817	user1085	user1146	user341	user575	user1050			item3	8	0
54	user918	user597	user817	user1085	user1146	user341	user575	user1050			item4	9	0
55	user918	user597	user817	user1085	user1146	user341	user575	user1050			item5	4	0
56	user918	user597	user817	user1085	user1146	user341	user575	user1050			item6	1	1
57	user918	user597	user817	user1085	user1146	user341	user575	user1050			item7	2	0
58	user918	user597	user817	user1085	user1146	user341	user575	user1050			item8	10	0
59	user918	user597	user817	user1085	user1146	user341	user575	user1050			item9	5	0
60	user1193	user286	user238	user496	user40	user374	user900				item0	2	0
61	user1193	user286	user238	user496	user40	user374	user900				item1	5	0
62	user1193	user286	user238	user496	user40	user374	user900				item2	6	0
63	user1193	user286	user238	user496	user40	user374	user900				item3	7	0
64	user1193	user286	user238	user496	user40	user374	user900				item4	3	0
65	user1193	user286	user238	user496	user40	user374	user900				item5	4	0
66	user1193	user286	user238	user496	user40	user374	user900				item6	1	1
67	user1193	user286	user238	user496	user40	user374	user900				item7	8	0
68	user1193	user286	user238	user496	user40	user374	user900				item8	9	0
69	user1193	user286	user238	user496	user40	user374	user900				item9	10	0
70	user342	user1238	user369	user452	user526	user202					item0	1	1
71	user342	user1238	user369	user452	user526	user202					item1	2	0
72	user342	user1238	user369	user452	user526	user202					item2	5	0
73	user342	user1238	user369	user452	user526	user202					item3	3	0
74	user342	user1238	user369	user452	user526	user202					item4	6	0
75	user342	user1238	user369	user452	user526	user202					item5	7	0
76	user342	user1238	user369	user452	user526	user202					item6	4	0
77	user342	user1238	user369	user452	user526	user202					item7	8	0
78	user342	user1238	user369	user452	user526	user202					item8	9	0
79	user342	user1238	user369	user452	user526	user202					item9	10	0
80	user1092	user455	user802	user22	user284	user882	user904				item0	5	0
81	user1092	user455	user802	user22	user284	user882	user904				item1	3	0
82	user1092	user455	user802	user22	user284	user882	user904				item2	4	0
83	user1092	user455	user802	user22	user284	user882	user904				item3	1	1
84	user1092	user455	user802	user22	user284	user882	user904				item4	6	0
85	user1092	user455	user802	user22	user284	user882	user904				item5	7	0
86	user1092	user455	user802	user22	user284	user882	user904				item6	2	0
87	user1092	user455	user802	user22	user284	user882	user904				item7	8	0
88	user1092	user455	user802	user22	user284	user882	user904				item8	9	0
89	user1092	user455	user802	user22	user284	user882	user904				item9	10	0
90	user982	user891	user673								item0	4	0
91	user982	user891	user673								item1	1	1
92	user982	user891	user673								item2	5	0
93	user982	user891	user673								item3	2	0
94	user982	user891	user673								item4	6	0
95	user982	user891	user673								item5	7	0
96	user982	user891	user673								item6	3	0
97	user982	user891	user673								item7	8	0
98	user982	user891	user673								item8	9	0
99	user982	user891	user673								item9	10	0
100	user766	user605									item0	3	0
101	user766	user605									item1	4	0
102	user766	user605									item2	5	0
103	user766	user605									item3	1	1
104	user766	user605									item4	6	0
105	user766	user605									item5	7	0
106	user766	user605									item6	2	0
107	user766	user605									item7	8	0
108	user766	user605									item8	9	0
109	user766	user605									item9	10	0
110	user755	user132	user206	user1190	user392	user435	user648				item0	6	0
111	user755	user132	user206	user1190	user392	user435	user648				item1	7	0
112	user755	user132	user206	user1190	user392	user435	user648				item2	8	0
113	user755	user132	user206	user1190	user392	user435	user648				item3	2	0
114	user755	user132	user206	user1190	user392	user435	user648				item4	3	0
115	user755	user132	user206	user1190	user392	user435	user648				item5	9	0
116	user755	user132	user206	user1190	user392	user435	user648				item6	1	1
117	user755	user132	user206	user1190	user392	user435	user648				item7	10	0
118	user755	user132	user206	user1190	user392	user435	user648				item8	4	0
119	user755	user132	user206	user1190	user392	user435	user648				item9	5	0
120	user587	user1040	user504	user327	user208						item0	4	0
121	user587	user1040	user504	user327	user208						item1	5	0
122	user587	user1040	user504	user327	user208						item2	6	0
123	user587	user1040	user504	user327	user208						item3	1	1
